Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric,135.8,-125.6,0.0,bottom
C10,1u,C_0402_1005Metric,148.75,-99.0,315.0,bottom
C11,100n,C_0402_1005Metric,158.25,-106.0,180.0,bottom
C12,100n,C_0402_1005Metric,143.98,-111.0,0.0,bottom
C13,100n,C_0402_1005Metric,159.75,-111.5,225.0,bottom
C14,100n,C_0402_1005Metric,152.0,-116.5,270.0,bottom
C15,100n,C_0402_1005Metric,142.02,-114.25,0.0,bottom
C16,100n,C_0402_1005Metric,142.5,-126.25,270.0,bottom
C17,10u,C_0805_2012Metric,142.95,-108.0,0.0,bottom
C18,2.2uF,C_0603_1608Metric,263.0,-181.75,0.0,bottom
C19,2.2uF,C_0603_1608Metric,448.0,-159.8,180.0,bottom
C2,15p,C_0402_1005Metric,157.0,-119.9,90.0,bottom
C20,2.2uF,C_0603_1608Metric,387.75,-200.75,180.0,bottom
C21,2.2uF,C_0603_1608Metric,393.02,-143.24,270.0,bottom
C22,2.2uF,C_0603_1608Metric,289.25,-201.25,0.0,bottom
C23,2.2uF,C_0603_1608Metric,268.4,-143.8,0.0,bottom
C24,2.2uF,C_0603_1608Metric,172.0,-201.225,270.0,bottom
C25,2.2uF,C_0603_1608Metric,173.8,-144.0,180.0,bottom
C3,15p,C_0402_1005Metric,151.0,-118.25,0.0,bottom
C4,10u,C_0805_2012Metric,145.7,-126.0,180.0,bottom
C5,100n,C_0402_1005Metric,147.75,-104.0,90.0,bottom
C6,100n,C_0402_1005Metric,152.25,-101.0,90.0,bottom
C7,100n,C_0402_1005Metric,150.8,-116.5,270.0,bottom
C8,1u,C_0402_1005Metric,149.0,-103.75,90.0,bottom
C9,100n,C_0402_1005Metric,151.25,-100.5,90.0,bottom
D1,D,D_SOD-123,179.5,-107.25,90.0,bottom
D10,D,D_SOD-123,352.375,-113.75,90.0,bottom
D11,D,D_SOD-123,371.425,-113.75,90.0,bottom
D12,D,D_SOD-123,390.475,-113.75,90.0,bottom
D13,D,D_SOD-123,409.5245,-113.75,90.0,bottom
D14,D,D_SOD-123,433.3375,-113.75,90.0,bottom
D15,D,D_SOD-123,452.3875,-113.75,90.0,bottom
D16,D,D_SOD-123,142.82,-142.8075,90.0,bottom
D17,D,D_SOD-123,161.7825,-142.81,90.0,bottom
D18,D,D_SOD-123,180.8325,-142.81,90.0,bottom
D19,D,D_SOD-123,199.8825,-142.81,90.0,bottom
D2,D,D_SOD-123,180.84,-113.61,90.0,bottom
D20,D,D_SOD-123,218.9325,-142.81,90.0,bottom
D21,D,D_SOD-123,237.9825,-142.81,90.0,bottom
D22,D,D_SOD-123,257.0325,-142.81,90.0,bottom
D23,D,D_SOD-123,276.0825,-142.81,90.0,bottom
D24,D,D_SOD-123,295.1325,-142.81,90.0,bottom
D25,D,D_SOD-123,314.1825,-142.81,90.0,bottom
D26,D,D_SOD-123,333.2325,-142.81,90.0,bottom
D27,D,D_SOD-123,352.2825,-142.81,90.0,bottom
D28,D,D_SOD-123,371.3325,-142.81,90.0,bottom
D29,D,D_SOD-123,411.75,-138.1,90.0,bottom
D3,D,D_SOD-123,199.975,-113.75,90.0,bottom
D30,D,D_SOD-123,433.295,-142.91,90.0,bottom
D31,D,D_SOD-123,452.345,-142.91,90.0,bottom
D32,D,D_SOD-123,457.25,-115.25,90.0,bottom
D33,D,D_SOD-123,147.525,-161.85,90.0,bottom
D34,D,D_SOD-123,171.3375,-161.85,90.0,bottom
D35,D,D_SOD-123,190.3875,-161.85,90.0,bottom
D36,D,D_SOD-123,209.4375,-161.85,90.0,bottom
D37,D,D_SOD-123,228.4875,-161.85,90.0,bottom
D38,D,D_SOD-123,247.5375,-161.85,90.0,bottom
D39,D,D_SOD-123,266.5875,-161.85,90.0,bottom
D4,D,D_SOD-123,219.025,-113.75,90.0,bottom
D40,D,D_SOD-123,285.6375,-161.85,90.0,bottom
D41,D,D_SOD-123,304.6875,-161.85,90.0,bottom
D42,D,D_SOD-123,323.7375,-161.85,90.0,bottom
D43,D,D_SOD-123,342.7875,-161.85,90.0,bottom
D44,D,D_SOD-123,361.8375,-161.85,90.0,bottom
D45,D,D_SOD-123,380.8875,-161.85,90.0,bottom
D46,D,D_SOD-123,404.7,-161.85,90.0,bottom
D47,D,D_SOD-123,433.325,-161.95,90.0,bottom
D48,D,D_SOD-123,452.375,-161.95,90.0,bottom
D49,D,D_SOD-123,468.395,-142.9325,90.0,bottom
D5,D,D_SOD-123,238.075,-113.75,90.0,bottom
D50,D,D_SOD-123,150.0063,-180.75,90.0,bottom
D51,D,D_SOD-123,176.2,-180.75,90.0,bottom
D52,D,D_SOD-123,195.25,-180.75,90.0,bottom
D53,D,D_SOD-123,214.3,-180.75,90.0,bottom
D54,D,D_SOD-123,233.35,-180.75,90.0,bottom
D55,D,D_SOD-123,252.4,-180.75,90.0,bottom
D56,D,D_SOD-123,271.45,-180.75,90.0,bottom
D57,D,D_SOD-123,290.5,-180.75,90.0,bottom
D58,D,D_SOD-123,309.55,-180.75,90.0,bottom
D59,D,D_SOD-123,328.6,-180.75,90.0,bottom
D6,D,D_SOD-123,266.65,-113.75,90.0,bottom
D60,D,D_SOD-123,347.65,-180.75,90.0,bottom
D61,D,D_SOD-123,365.75,-180.75,90.0,bottom
D62,D,D_SOD-123,368.25,-180.75,90.0,bottom
D63,D,D_SOD-123,166.25,-198.75,90.0,bottom
D64,D,D_SOD-123,185.75,-200.0,90.0,bottom
D65,D,D_SOD-123,204.8,-199.5,90.0,bottom
D66,D,D_SOD-123,223.85,-200.0,90.0,bottom
D67,D,D_SOD-123,242.9,-200.0,90.0,bottom
D68,D,D_SOD-123,261.95,-200.0,90.0,bottom
D69,D,D_SOD-123,281.0,-200.0,90.0,bottom
D7,D,D_SOD-123,285.75,-113.75,90.0,bottom
D70,D,D_SOD-123,300.05,-200.0,90.0,bottom
D71,D,D_SOD-123,319.1,-200.0,90.0,bottom
D72,D,D_SOD-123,338.15,-200.0,90.0,bottom
D73,D,D_SOD-123,357.2,-197.65,90.0,bottom
D74,D,D_SOD-123,402.5,-199.0,90.0,bottom
D75,D,D_SOD-123,452.5,-198.95,90.0,bottom
D76,D,D_SOD-123,145.25,-217.75,90.0,bottom
D77,D,D_SOD-123,169.0625,-217.75,90.0,bottom
D78,D,D_SOD-123,192.875,-217.75,90.0,bottom
D79,D,D_SOD-123,264.3125,-217.25,90.0,bottom
D8,D,D_SOD-123,304.75,-113.75,90.0,bottom
D80,D,D_SOD-123,335.76,-218.34,90.0,bottom
D81,D,D_SOD-123,361.88,-218.27,90.0,bottom
D82,D,D_SOD-123,385.65,-218.34,90.0,bottom
D83,D,D_SOD-123,409.5,-218.35,90.0,bottom
D84,D,D_SOD-123,433.35,-218.38,90.0,bottom
D85,D,D_SOD-123,452.38,-218.38,90.0,bottom
D86,D,D_SOD-123,468.25,-161.95,90.0,bottom
D87,D,D_SOD-123,468.75,-217.75,90.0,bottom
D88,PRTR5V0U2X,SOT-143,135.5,-120.5,90.0,bottom
D9,D,D_SOD-123,323.8,-113.75,90.0,bottom
J1,~,USB-C_SMD-TYPE-C-31-M-12_1,128.075,-120.5,90.0,bottom
LED1,SK6812MINI-E,SK6812MINI-E,133.27,-111.25,180.0,bottom
LED10,SK6812MINI-E,SK6812MINI-E,342.82,-111.25,0.0,bottom
LED11,SK6812MINI-E,SK6812MINI-E,361.87,-111.25,0.0,bottom
LED12,SK6812MINI-E,SK6812MINI-E,380.92,-111.25,0.0,bottom
LED13,SK6812MINI-E,SK6812MINI-E,399.97,-111.25,0.0,bottom
LED14,SK6812MINI-E,SK6812MINI-E,423.783,-111.25,0.0,bottom
LED15,SK6812MINI-E,SK6812MINI-E,442.833,-111.25,0.0,bottom
LED16,SK6812MINI-E,SK6812MINI-E,133.283,-139.825,0.0,bottom
LED17,SK6812MINI-E,SK6812MINI-E,152.333,-139.825,0.0,bottom
LED18,SK6812MINI-E,SK6812MINI-E,171.383,-139.825,0.0,bottom
LED19,SK6812MINI-E,SK6812MINI-E,190.433,-139.825,0.0,bottom
LED2,SK6812MINI-E,SK6812MINI-E,171.37,-111.25,0.0,bottom
LED20,SK6812MINI-E,SK6812MINI-E,209.483,-139.825,0.0,bottom
LED21,SK6812MINI-E,SK6812MINI-E,228.533,-139.825,0.0,bottom
LED22,SK6812MINI-E,SK6812MINI-E,247.583,-139.825,0.0,bottom
LED23,SK6812MINI-E,SK6812MINI-E,266.633,-139.825,0.0,bottom
LED24,SK6812MINI-E,SK6812MINI-E,285.683,-139.825,0.0,bottom
LED25,SK6812MINI-E,SK6812MINI-E,304.733,-139.825,0.0,bottom
LED26,SK6812MINI-E,SK6812MINI-E,323.783,-139.825,0.0,bottom
LED27,SK6812MINI-E,SK6812MINI-E,342.833,-139.825,0.0,bottom
LED28,SK6812MINI-E,SK6812MINI-E,361.883,-139.825,0.0,bottom
LED29,SK6812MINI-E,SK6812MINI-E,390.457,-139.825,0.0,bottom
LED3,SK6812MINI-E,SK6812MINI-E,190.42,-111.25,0.0,bottom
LED30,SK6812MINI-E,SK6812MINI-E,423.795,-139.825,0.0,bottom
LED31,SK6812MINI-E,SK6812MINI-E,442.845,-139.825,0.0,bottom
LED32,SK6812MINI-E,SK6812MINI-E,461.895,-139.825,0.0,bottom
LED33,SK6812MINI-E,SK6812MINI-E,138.045,-158.875,0.0,bottom
LED34,SK6812MINI-E,SK6812MINI-E,161.86,-158.875,0.0,bottom
LED35,SK6812MINI-E,SK6812MINI-E,180.91,-158.875,0.0,bottom
LED36,SK6812MINI-E,SK6812MINI-E,199.96,-158.875,0.0,bottom
LED37,SK6812MINI-E,SK6812MINI-E,219.01,-158.875,0.0,bottom
LED38,SK6812MINI-E,SK6812MINI-E,238.06,-158.875,0.0,bottom
LED39,SK6812MINI-E,SK6812MINI-E,257.11,-158.875,0.0,bottom
LED4,SK6812MINI-E,SK6812MINI-E,209.47,-111.25,0.0,bottom
LED40,SK6812MINI-E,SK6812MINI-E,276.16,-158.875,0.0,bottom
LED41,SK6812MINI-E,SK6812MINI-E,295.21,-158.875,0.0,bottom
LED42,SK6812MINI-E,SK6812MINI-E,314.26,-158.875,0.0,bottom
LED43,SK6812MINI-E,SK6812MINI-E,333.31,-158.875,0.0,bottom
LED44,SK6812MINI-E,SK6812MINI-E,352.36,-158.88,0.0,bottom
LED45,SK6812MINI-E,SK6812MINI-E,371.41,-158.875,0.0,bottom
LED46,SK6812MINI-E,SK6812MINI-E,395.22,-158.875,0.0,bottom
LED47,SK6812MINI-E,SK6812MINI-E,423.8,-158.875,0.0,bottom
LED48,SK6812MINI-E,SK6812MINI-E,442.85,-158.875,0.0,bottom
LED49,SK6812MINI-E,SK6812MINI-E,461.9,-158.875,0.0,bottom
LED5,SK6812MINI-E,SK6812MINI-E,228.52,-111.25,0.0,bottom
LED50,SK6812MINI-E,SK6812MINI-E,140.43,-177.925,0.0,bottom
LED51,SK6812MINI-E,SK6812MINI-E,166.62,-177.925,0.0,bottom
LED52,SK6812MINI-E,SK6812MINI-E,185.67,-177.925,0.0,bottom
LED53,SK6812MINI-E,SK6812MINI-E,204.72,-177.925,0.0,bottom
LED54,SK6812MINI-E,SK6812MINI-E,223.77,-177.925,0.0,bottom
LED55,SK6812MINI-E,SK6812MINI-E,242.82,-177.925,0.0,bottom
LED56,SK6812MINI-E,SK6812MINI-E,261.87,-177.925,0.0,bottom
LED57,SK6812MINI-E,SK6812MINI-E,280.92,-177.925,0.0,bottom
LED58,SK6812MINI-E,SK6812MINI-E,299.97,-177.925,0.0,bottom
LED59,SK6812MINI-E,SK6812MINI-E,319.02,-177.925,0.0,bottom
LED6,SK6812MINI-E,SK6812MINI-E,257.095,-111.2501,0.0,bottom
LED60,SK6812MINI-E,SK6812MINI-E,338.07,-177.925,0.0,bottom
LED61,SK6812MINI-E,SK6812MINI-E,357.12,-177.925,0.0,bottom
LED62,SK6812MINI-E,SK6812MINI-E,388.076,-177.925,0.0,bottom
LED63,SK6812MINI-E,SK6812MINI-E,145.189,-196.975,0.0,bottom
LED64,SK6812MINI-E,SK6812MINI-E,176.145,-196.95,0.0,bottom
LED65,SK6812MINI-E,SK6812MINI-E,195.2,-196.975,0.0,bottom
LED66,SK6812MINI-E,SK6812MINI-E,214.25,-196.975,0.0,bottom
LED67,SK6812MINI-E,SK6812MINI-E,233.3,-196.975,0.0,bottom
LED68,SK6812MINI-E,SK6812MINI-E,252.35,-196.975,0.0,bottom
LED69,SK6812MINI-E,SK6812MINI-E,271.4,-196.975,0.0,bottom
LED7,SK6812MINI-E,SK6812MINI-E,276.145,-111.25,0.0,bottom
LED70,SK6812MINI-E,SK6812MINI-E,290.45,-196.975,0.0,bottom
LED71,SK6812MINI-E,SK6812MINI-E,309.5,-196.975,0.0,bottom
LED72,SK6812MINI-E,SK6812MINI-E,328.55,-196.975,0.0,bottom
LED73,SK6812MINI-E,SK6812MINI-E,347.6,-196.975,0.0,bottom
LED74,SK6812MINI-E,SK6812MINI-E,383.314,-196.975,0.0,bottom
LED75,SK6812MINI-E,SK6812MINI-E,442.845,-196.975,0.0,bottom
LED76,SK6812MINI-E,SK6812MINI-E,135.664,-216.025,0.0,bottom
LED77,SK6812MINI-E,SK6812MINI-E,159.476,-216.025,0.0,bottom
LED78,SK6812MINI-E,SK6812MINI-E,183.289,-216.025,0.0,bottom
LED79,SK6812MINI-E,SK6812MINI-E,254.726,-216.025,0.0,bottom
LED8,SK6812MINI-E,SK6812MINI-E,295.195,-111.25,0.0,bottom
LED80,SK6812MINI-E,SK6812MINI-E,326.164,-216.025,0.0,bottom
LED81,SK6812MINI-E,SK6812MINI-E,349.976,-216.025,0.0,bottom
LED82,SK6812MINI-E,SK6812MINI-E,373.789,-216.025,0.0,bottom
LED83,SK6812MINI-E,SK6812MINI-E,397.601,-216.025,0.0,bottom
LED84,SK6812MINI-E,SK6812MINI-E,423.795,-216.025,0.0,bottom
LED85,SK6812MINI-E,SK6812MINI-E,442.845,-216.025,0.0,bottom
LED86,SK6812MINI-E,SK6812MINI-E,461.895,-216.025,0.0,bottom
LED9,SK6812MINI-E,SK6812MINI-E,314.245,-111.25,0.0,bottom
Q1,AO3401A,SOT-23,134.0,-144.8,180.0,bottom
R1,1k,R_0402_1005Metric,163.0,-109.25,180.0,bottom
R10,2.2k-3.3k,R_0805_2012Metric,142.0,-104.4,270.0,bottom
R11,10k,R_0402_1005Metric,130.6,-145.0,90.0,bottom
R2,DNF,R_0402_1005Metric,161.75,-107.225,180.0,bottom
R3,27,R_0402_1005Metric,151.25,-103.0,270.0,bottom
R4,27,R_0402_1005Metric,150.25,-103.0,270.0,bottom
R5,1k,R_0402_1005Metric,153.2,-116.5,270.0,bottom
R6,10k,R_0402_1005Metric,163.5,-129.0,180.0,bottom
R7,2.2k-3.3k,R_0805_2012Metric,144.0,-104.4,270.0,bottom
R8,5.1k,R_0402_1005Metric,135.6,-123.0,180.0,bottom
R9,5.1k,R_0402_1005Metric,135.6,-117.8,180.0,bottom
SW1,ON/OFF,SW-SMD_XDMK-12C01-25,126.2,-147.0,270.0,bottom
U1,AP2112K-3.3,SOT-23-5,141.8,-123.4,180.0,bottom
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,157.835,-101.02,0.0,bottom
U3,RP2040,RP2040-QFN-56,152.5,-109.43,0.0,bottom
Y1,ABM8-272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,154.22,-119.25,0.0,bottom
